Catalog Number,Inventory number,Suffix,Date D,Date M,Date P,PTS,Country,Place,Area,Locality,Formation,Member,Level,Age G1,Age G2,Anatomical part,Anatomical description,Taxonomy 1,Taxonomy 2,TR,Discoverer,Reference of first mention,Reference of description,Reference of taxonomical allocation,Reference of dating,Part
KNM-WT 66291,KNM-WT 66291,#,2009,2020,2020,11,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Lm2or3,Hominine GSI,cf. K. platyops,NTA,WTPP team,"Skinner et al, 2020","Skinner et al, 2020","Skinner et al, 2020","Skinner et al, 2020",west
B 7-39a,B 7-39,A,1967,1968,1969,2,Ethiopia,Brown Sands,#,B 7,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,LP3,Australopitheucs. sp.,A. aff. afarensis,NTA,#,"Howell, 1968","Howell, 1969","Suwa, 1990; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
B 7-39b,B 7-39,B,1967,1968,1969,2,Ethiopia,Brown Sands,#,B 7,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,LP4,Australopithecus. sp.,A. aff. afarensis,NTA,#,"Howell, 1968","Howell, 1969","Suwa, 1990; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
B 7-39c,B 7-39,C,1967,1968,1969,2,Ethiopia,Brown Sands,#,B 7,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,LM1 frag.,Australopithecus. sp.,A. aff. afarensis,NTA,#,"Howell, 1968","Howell, 1969","Suwa, 1990; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
B 8-4q,B 8-4,Q,1968,1969,1969,1,Ethiopia,Brown Sands,#,B 8,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,LP4,Australopithecus. sp.,A. aff. afarensis,NTA,#,"Howell, 1969","Howell, 1969","Suwa, 1990; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
B 8-14a,B 8-14,A,1968,1969,1969,1,Ethiopia,Brown Sands,#,B 8,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,LM3,Australopithecus. sp.,A. aff. afarensis,NTA,#,"Howell, 1969","Howell, 1969","Suwa, 1990; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
B 8-14b,B 8-14,B,1968,1969,1969,1,Ethiopia,Brown Sands,#,B 8,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,LP4,Australopithecus. sp.,A. aff. afarensis,NTA,#,"Howell, 1969","Howell, 1969","Suwa, 1990; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
B 8-20p,B 8-20,P,1968,1969,1969,1,Ethiopia,Brown Sands,#,B 8,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,RM1 or RDM2 frag.,Hominine GSI,A. aff. afarensis,NTA,#,"Howell, 1969","Howell, 1969","Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
B 8-23a,B 8-23,A,1968,1969,1969,1,Ethiopia,Brown Sands,#,B 8,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,LP3,Australopithecus. sp.,A. aff. afarensis,NTA,#,"Howell, 1969","Howell, 1969","Suwa, 1990; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
B 8-23b,B 8-23,B,1968,1969,1969,1,Ethiopia,Brown Sands,#,B 8,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,LM1OR2,Australopithecus. sp.,A. aff. afarensis,NTA,#,"Howell, 1969","Howell, 1969","Suwa, 1990; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
B 8-27,B 8-27,#,1968,1969,1969,1,Ethiopia,Brown Sands,#,B 8,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,RI1,Hominine GSI,A. aff. afarensis,NTA,#,"Howell, 1969","Howell, 1969","Suwa, 1990; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
B 8-28m,B 8-28,M,1968,1969,1969,1,Ethiopia,Brown Sands,#,B 8,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,Lm3 ou Ldm2,Hominine GSI,A. aff. afarensis,NTA,#,"Howell, 1969","Howell, 1969","Suwa, 1990; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
F 18-3,F 18-3,#,1971,1973,#,#,Ethiopia,Kalam,#,F 18,Shungura,J to L,#,~1.30-1.50,~1.30-1.50,T,LI2,Hominine GSI,Hominine GSI,GSI,F. Brown,"Coppens, 1973b",Undescribed,GSI because no taxonomical allocation published,"Howell and Coppens, 1974",north
F 22-1a,F 22-1,A,1971,1973,1973,2,Ethiopia,Kalam,#,F 22,Shungura,F,F-1,~2.34,2.30-2.31,T,Rm2 crown,P. aethiopicus,P. aethiopicus,CTA,F. Brown,"Coppens, 1973a","Coppens, 1973a","Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
F 22-1b,F 22-1,B,1971,1973,1973,2,Ethiopia,Kalam,#,F 22,Shungura,F,F-1,~2.34,2.30-2.31,T,Rm3 crown,P. aethiopicus,P. aethiopicus,CTA,F. Brown,"Coppens, 1973a","Coppens, 1973a","Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
F 22-2,F 22-2,#,1971,1987,#,#,Ethiopia,Kalam,#,F 22,Shungura,F,F-1,~2.34,2.30-2.31,T,Ri1,Hominine GSI,Hominine GSI,GSI,#,"Howell et al., 1987",Undescribed,"White, 1988; Wood and Leakey, 2011","Deduced from Feibel et al., 1989; Wynn et al., 2020",north
F 203-1,F 203-1,#,1971,1973,#,#,Ethiopia,Kalam,#,F 203,Shungura,K,K-4,~1.42,~1.42,T,Rm2or3,P. boisei,P. boisei,CTA,F. Brown,"Coppens, 1973b",Undescribed,"Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989",north
F 511-16,F 511-16,#,1974,1989,#,#,Ethiopia,Type area,19,F 511,Shungura,H,H-4 to 6,1.80-1.90,1.80-1.90,P,L metatarsal III,hominine GSI,hominine GSI,GSI,#,"Feibel et al., 1989",Undescribed,"McHenry, 1994","Feibel et al., 1989",north
L 1-611,L 1-611,#,1973,2011,#,#,Ethiopia,Type area,15,L 1,Shungura,B,B-10,2.97-3.07,~2.90,T,Ri2 frag,Australopithecus. sp.,Australopithecus sp.,SPI,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Deduced from Feibel et al., 1989",north
L 1-1399,L 1-1399,#,1973,2011,#,#,Ethiopia,Type area,15,L 1,Shungura,B,B-10,2.97-3.07,~2.90,T,RI1,Hominine GSI,Hominine GSI,GSI,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Deduced from Feibel et al., 1989",north
L 1-292,L 1-292,#,1972,1974,#,#,Ethiopia,Type area,15,L 1/n,Shungura,B,B-10-3,2.97-3.07,~2.90,T,Upper P frag.,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974",Undescribed,GSI because no taxonomical allocation published,"Feibel et al., 1989",north
L 1-294,L 1-294,#,1972,1974,#,#,Ethiopia,Type area,15,L 1/n,Shungura,B,B-10-3,2.97-3.07,~2.90,T,Rm3,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989",north
L 1-398,L 1-398,#,1973,1989,#,#,Ethiopia,Type area,15,L 1/n,Shungura,B,B-10-3,2.97-3.07,~2.90,T,Rm3,Hominine GSI,Hominine GSI,GSI,#,"Feibel et al., 1989",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989",north
L 1-468,L 1-468,#,1973,1989,#,#,Ethiopia,Type area,15,L 1/n,Shungura,B,B-10-3,2.97-3.07,~2.90,T,RM2 frag.,Australopithecus. sp.,A. aff. afarensis,NTA,#,"Feibel et al., 1989",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989",north
L 1-667,L 1-667,#,1973,1989,1990,17,Ethiopia,Type area,15,L 1/n,Shungura,B,B-10-3,2.97-3.07,~2.90,T,LP3 frag.,Australopithecus. sp.,A. aff. afarensis,NTA,#,"Feibel et al., 1989","Suwa, 1990","Suwa 1990;  Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 1-768,L 1-768,#,1973,1989,#,#,Ethiopia,Type area,15,L 1/n,Shungura,B,B-10-3,2.97-3.07,~2.90,T,Tooth,Hominine GSI,Hominine GSI,GSI,#,"Feibel et al., 1989",Undescribed,GSI because no taxonomical allocation published,"Feibel et al., 1989",north
L 2-79,L 2-79,#,1968,1969,1969,1,Ethiopia,Type area,15,L 2,Shungura,B,B-10,2.97-3.07,~2.90,T,Lm2or3 frag.,Australopithecus. sp.,Australopithecus sp.,SPI,#,"Howell, 1969","Howell, 1969","Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 2-89,L 2-89,#,1968,1969,1969,1,Ethiopia,Type area,15,L 2,Shungura,B,B-10,2.97-3.07,~2.90,T,Lm3,Hominine GSI,Hominine GSI,GSI,#,"Howell, 1969","Howell, 1969","Suwa et al., 1996; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 7-279,L 7-279,#,1970,1974,#,#,Ethiopia,Type area,11,L 7,Shungura,G,G-5 to 7,~2.20,~2.20,T,Lm2,aff. Homo sp.,aff. Homo sp.,NTA,#,"Howell and Coppens, 1974",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989",north
L 7/A-125,L 7/A-125,#,1968,1969,1969,1,Ethiopia,Type area,11,L 7,Shungura,G,G-5,2.15-2.25,2.15-2.25,M,Mandibular body with teeth except 3 I,P. boisei,P. boisei,CTA,#,"Howell, 1969","Howell, 1969","Suwa et al., 1996; Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989",north
L 9-11,L 9-11,#,1968,1969,1969,1,Ethiopia,Type area,11,L 9,Shungura,D,D-5,2.42-2.43,~2.40,T,Rm3 frag.,Hominine GSI,Hominine GSI,GSI,#,"Howell, 1969","Howell, 1969","Suwa et al., 1996; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 9-12,L 9-12,#,1968,1969,1969,1,Ethiopia,Type area,11,L 9,Shungura,D,D-5,2.42-2.43,~2.40,T,LM3,Hominine GSI,Hominine GSI,GSI,#,"Howell, 1969","Howell, 1969","Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 9-92,L 9-92,#,1971,1974,#,#,Ethiopia,Type area,11,L 9,Shungura,D,D-5,2.42-2.43,~2.40,T,LM1OR2 or Lm frag.,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 10-21,L 10-21,#,1970,1974,#,#,Ethiopia,Type area,12,L 10,Shungura,E,E-2,~2.38,~2.38,T,Rm3 frag.,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974",Undescribed,"Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989",north
L 26-1g,L 26-1,G,1968,1969,1969,1,Ethiopia,Type area,4,L 26,Shungura,E,E-2,~2.38,~2.38,T,Rm2,aff. Homo sp.,aff. Homo sp.,NTA,#,"Howell, 1969","Howell, 1969","Suwa et al., 1996; Wood and Leakey, 2011","Feibel et al., 1989",north
L 26-59,L 26-59,#,1968,1969,1969,1,Ethiopia,Type area,4,L 26,Shungura,E,E-2,~2.38,~2.38,T,LM frag.,P. aethiopicus,P. aethiopicus,CTA,#,"Howell, 1969","Howell, 1969","Wood and Constantino, 2007","Feibel et al., 1989",north
L 28-28x,L 28-28,X,1969,1974,1990,21,Ethiopia,Type area,13,L 28,Shungura,F,F-1,~2.34,2.30-2.31,T,Lp3 germ frag.,aff. Homo sp.,aff. Homo sp.,NTA,#,"Howell and Coppens, 1974","Suwa, 1990","Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 28-30,L 28-30,#,1968,1969,1969,1,Ethiopia,Type area,13,L 28,Shungura,F,F-1,~2.34,2.30-2.31,T,Rm3,aff. Homo sp.,aff. Homo sp.,NTA,#,"Howell, 1969","Howell, 1969","Suwa et al., 1996; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 28-31,L 28-31,#,1968,1969,1969,1,Ethiopia,Type area,13,L 28,Shungura,F,F-1,~2.34,2.30-2.31,T,Rm2,aff. Homo sp.,aff. Homo sp.,NTA,#,"Howell, 1969","Howell, 1969","Howell et al., 1987; Wood, 1991","Feibel et al., 1989; Wynn et al., 2020",north
L 28-58,L 28-58,#,1968,1969,1969,1,Ethiopia,Type area,13,L 28,Shungura,F,F-1,~2.34,2.30-2.31,T,RM1OR2,P. aethiopicus,P. aethiopicus,CTA,#,"Howell, 1969","Howell, 1969","Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 28-125,L 28-125,#,1970,1974,#,#,Ethiopia,Type area,13,L 28,Shungura,F,F-1,~2.34,2.30-2.31,T,Rc,Hominine GSI,hominine GSI,GSI,#,"Howell and Coppens, 1974",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 28-126,L 28-126,#,1970,1974,1990,20,Ethiopia,Type area,13,L 28,Shungura,F,F-1,~2.34,2.30-2.31,T,RP4 frag.,aff. Homo sp.,P. aethiopicus,NTA,#,"Howell and Coppens, 1974","Suwa, 1990","Suwa, 1990; Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 40-15c,L 40-15,C,1969,1989,#,#,Ethiopia,Type area,14,L 40,Shungura,E,E-5,2.32-2.42,2.32-2.42,T,Lp4,Hominine GSI,Hominine GSI,GSI,#,"Feibel et al., 1989",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989",north
L 40-19,L 40-19,#,1971,1974,1974,3,Ethiopia,Type area,14,L 40,Shungura,E,E-5,2.32-2.42,2.32-2.42,P,R complete ulna,P. aethiopicus,P. aethiopicus,NTA,G. Eck,"Howell and Coppens, 1974","Howell and Wood, 1974","McHenry et al., 2007 ; Wood and Constantino 2007; Wood and Leakey, 2011","Feibel et al., 1989",north
L 45-2,L 45-2,#,1968,1969,1969,1,Ethiopia,Type area,4,L 45,Shungura,C,C-5,~2.70,~2.70,T,Rm1,Hominine GSI,Hominine GSI,GSI,#,"Howell, 1969","Howell, 1969","Suwa et al., 1996; Wood and Leakey, 2011","Feibel et al., 1989",north
L 50-2,L 50-2,#,1970,1974,#,#,Ethiopia,Type area,9,L 50,Shungura,D,D-0,~2.50,~2.50,T,LM,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974",Undescribed,"Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989",north
L 51-1,L 51-1,#,1968,1969,1969,1,Ethiopia,Type area,9,L 51,Shungura,C,C-9,2.53-2.54,2.46-2.56,T,Lm1,Hominine GSI,Hominine GSI,GSI,#,"Howell, 1969","Howell, 1969","Suwa et al., 1996; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 51-2,L 51-2,#,1968,1969,1969,1,Ethiopia,Type area,9,L 51,Shungura,C,C-9,2.53-2.54,2.46-2.56,T,LM1,Hominine GSI,Hominine GSI,GSI,#,"Howell, 1969","Howell, 1969","Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 51-3,L 51-3,#,1968,1969,1969,1,Ethiopia,Type area,9,L 51,Shungura,C,C-9,2.53-2.54,2.46-2.56,T,LM2,Hominine GSI,Hominine GSI,GSI,#,"Howell, 1969","Howell, 1969","Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 51-4,L 51-4,#,1968,1969,1969,1,Ethiopia,Type area,9,L 51,Shungura,C,C-9,2.53-2.54,2.46-2.56,T,L or RM1,Hominine GSI,Hominine GSI,GSI,#,"Howell, 1969","Howell, 1969","Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 51-5,L 51-5,#,1968,1969,1969,1,Ethiopia,Type area,9,L 51,Shungura,C,C-9,2.53-2.54,2.46-2.56,T,RI1,Hominine GSI,Hominine GSI,GSI,#,"Howell, 1969","Howell, 1969","Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 51-6,L 51-6,#,1968,1969,1969,1,Ethiopia,Type area,9,L 51,Shungura,C,C-9,2.53-2.54,2.46-2.56,T,Lm frag.,Hominine GSI,Hominine GSI,GSI,#,"Howell, 1969","Howell, 1969","Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 51-7,L 51-7,#,1968,1969,1969,1,Ethiopia,Type area,9,L 51,Shungura,C,C-9,2.53-2.54,2.46-2.56,T,Rm frag.,Hominine GSI,Hominine GSI,GSI,#,"Howell, 1969","Howell, 1969","Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 51-79,L 51-79,#,1970,1974,1990,20,Ethiopia,Type area,9,L 51,Shungura,C,C-9,2.53-2.54,2.46-2.56,T,Rp4,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974","Suwa, 1990","Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 51-80,L 51-80,#,1970,1974,1990,20,Ethiopia,Type area,9,L 51,Shungura,C,C-9,2.53-2.54,2.46-2.56,T,Rp4,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974","Suwa, 1990","Suwa, 90; Wood and Leakey 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 54/A-20,L 54/A-20,#,1968,1969,1969,1,Ethiopia,Type area,11,L 54/A,Shungura,C,C-8,~2.60,~2.60,T,RDM2 frag.,Hominine GSI,Hominine GSI,GSI,#,"Howell, 1969","Howell, 1969","Wood and Leakey, 2011","Feibel et al., 1989",north
L 55-33,L 55-33,#,1972,1974,#,#,Ethiopia,Type area,9,L 55/S,Shungura,C,C-6,2.60-2.80,2.58-2.63,M,L mandibular frag. with  i1 and p4,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974",Undescribed,"Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 55-34,L 55-34,#,#,1974,#,#,Ethiopia,Type area,9,L 55/S,Shungura,C,C-6,2.60-2.80,2.58-2.63,T,M frag.,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974",Undescribed,GSI because no taxonomical allocation published,"Feibel et al., 1989; Wynn et al., 2020",north
L 55-57,L 55-57,#,#,1974,#,#,Ethiopia,Type area,9,L 55/S,Shungura,C,C-6,2.60-2.80,2.58-2.63,T,LI2 germ,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974",Undescribed,GSI because no taxonomical allocation published,"Feibel et al., 1989; Wynn et al., 2020",north
L 62-17,L 62-17,#,1970,1974,#,#,Ethiopia,Type area,10,L 62,Shungura,C,C-4 to 6,~2.70,~2.70,T,Rm2,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974",Undescribed,"Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989 ; Noted in C4/5 in Howell and Coppens 1974",north
L 64-2,L 64-2,#,1968,1969,1969,1,Ethiopia,Type area,3,L 64,Shungura,D,D-5,~2.40,~2.40,T,Ldm2,P. aethiopicus,P. aethiopicus,CTA,#,"Howell, 1969","Howell, 1969","Wood and Leakey, 2011","Feibel et al., 1989",north
L 64-23,L 64-23,#,1971,1974,#,#,Ethiopia,Type area,3,L 64,Shungura,D,D-5,~2.40,~2.40,T,dm1or2 frag.,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989",north
L 74/A-21,L 74/A-21,#,1968,1969,1969,1,Ethiopia,Type area,12,L 74/A,Shungura,G,G-3 to 5,2.15-2.25,2.15-2.25,M,R mandible with C-p4,P. boisei,P. boisei,CTA,#,"Howell, 1969","Howell, 1969","Suwa et al., 1996; Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989 ",north
L 105-7,L 105-7,#,1972,1974,#,#,Ethiopia,Type area,11,L 105,Shungura,G,G-7,2.05-2.15,2.05-2.15,P,Lumbar vertebra,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974",Undescribed,GSI because no taxonomical allocation published,"Feibel et al., 1989",north
L 136-9,L 136-9,#,1969,1974,#,#,Ethiopia,Type area,9,L 136,Shungura,C,C-8,~2.60,2.54-2.56,T,m1or3 dist. frag.,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 144-23,L 144-23,#,1969,1973,1973,4,Ethiopia,Type area,10,L 144,Shungura,C,C-9,2.46-2.56,2.46-2.56,T,LDM2 or LM1,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974","Howell and Coppens, 1973","Wood and Leakey, 2011","Feibel et al., 1989",north
L 144-24,L 144-24,#,1969,1973,1973,4,Ethiopia,Type area,10,L 144,Shungura,C,C-9,2.46-2.56,2.46-2.56,T,Rdm2 frag.,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974","Howell and Coppens, 1973","Wood and Leakey, 2011","Feibel et al., 1989",north
L 157-35,L 157-35,#,1969,1974,#,#,Ethiopia,Type area,11,L 157,Shungura,F,F-1,~2.34,~2.34,T,Lm2,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974",Undescribed,"Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989",north
L 183-11,L 183-11,#,1969,1974,#,#,Ethiopia,Type area,12,L 183,Shungura,C,C-5,~2.70,2.63-2.66,T,LM1 frag.,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989 ; Wynn et al 2020",north
L 209-17,L 209-17,#,1971,1974,#,#,Ethiopia,Type area,14,L 209,Shungura,F,E-5 to F-1,~2.35,2.31-2.32,T,Rm1or2,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974",Undescribed,"Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989 ; Wynn et al., 2020",north
L 209-18,L 209-18,#,1971,1974,#,#,Ethiopia,Type area,14,L 209,Shungura,F,E-5 to F-1,~2.35,2.31-2.32,T,Lm frag.,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974",Undescribed,"Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989 ; Wynn et al., 2020",north
L 209-30,L 209-30,#,1971,1974,#,#,Ethiopia,Type area,14,L 209,Shungura,F,E-5 to F-1,~2.35,2.31-2.32,T,RDM2 frag.,Hominine GSI,aff. Homo sp.,NTA,#,"Howell and Coppens, 1974",Undescribed,"White, 1988; Wood and Leakey, 2011","Feibel et al., 1989 ; Wynn et al., 2020",north
L 238-35,L 238-35,#,1969,1974,#,#,Ethiopia,Type area,15,L 238,Shungura,F,F-3,~2.35,~2.35,T,RM2,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974",Undescribed,"Wood and Constantino, 2007","Feibel et al., 1989",north
L 296-1,L 296-1,#,1969,1974,#,#,Ethiopia,Type area,10,L 296,Shungura,D,D-1,~2.50,~2.50,T,Rm3,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974",Undescribed,"Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989",north
L 327-16,L 327-16,#,#,1974,#,#,Ethiopia,Type area,10,L 327,Shungura,C,C-6,2.60-2.80,2.60-2.80,T,I2,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974",Undescribed,GSI because no taxonomical allocation published,"Feibel et al., 1989",north
L 338/X-32,L 338/X-32,#,1969,1973,1973,4,Ethiopia,Type area,7,L 338/X,Shungura,E,E-3,2.34-2.44,2.36-2.39,T,LDM2 or LM3 buc. half,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974","Howell and Coppens, 1973","Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 338/X-33,L 338/X-33,#,1969,1974,1990,21,Ethiopia,Type area,7,L 338/X,Shungura,E,E-3,2.34-2.44,2.36-2.39,T,RP4,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974","Suwa, 1990","Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 338/X-34,L 338/X-34,#,1969,1974,#,#,Ethiopia,Type area,7,L 338/X,Shungura,E,E-3,2.34-2.44,2.36-2.39,T,LM1OR2,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974",Undescribed,"Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 338/X-35,L 338/X-35,#,1969,1974,1990,21,Ethiopia,Type area,7,L 338/X,Shungura,E,E-3,2.34-2.44,2.36-2.39,T,RP3,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974","Suwa, 1990","Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 338/X-39,L 338/X-39,#,1970,1974,#,#,Ethiopia,Type area,7,L 338/X,Shungura,E,E-3,2.34-2.44,2.36-2.39,T,Lm3 crown,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974",Undescribed,"Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 338/X-40,L 338/X-40,#,1970,1974,1990,20,Ethiopia,Type area,7,L 338/X,Shungura,E,E-3,2.34-2.44,2.36-2.39,T,Lp4,P. aethiopicus,P. aethiopicus,CTA,#,"Howell and Coppens, 1974","Suwa, 1990","Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 338/X-41,L 338/X-41,#,1970?,1974,#,#,Ethiopia,Type area,7,L 338/X,Shungura,E,E-3,2.34-2.44,2.36-2.39,T,Rc,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974",Undescribed,GSI because no taxonomical allocation published,"Feibel et al., 1989; Wynn et al., 2020",north
L 338/X-42,L 338/X-42,#,1970?,1974,#,#,Ethiopia,Type area,7,L 338/X,Shungura,E,E-3,2.34-2.44,2.36-2.39,T,Frag. enamel lower m,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974",Undescribed,GSI because no taxonomical allocation published,"Feibel et al., 1989; Wynn et al., 2020",north
L 338/Y-6,L 338/Y-6,#,1969,1974,1978,9,Ethiopia,Type area,7,L 338/Y,Shungura,E,E-3,2.34-2.44,2.36-2.39,C,Juvenile skull frag.,P. aethiopicus,P. aethiopicus,CTA,J. de Heinzelin,"Howell and Coppens, 1974","Rak and Howell, 1978","Wood and Constantino, 2007; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
L 338/Y-9,L 338/Y-9,#,1971,1974,#,#,Ethiopia,Type area,7,L 338/Y,Shungura,E,E-3,2.34-2.44,2.36-2.39,P,Juvenile humerus diaphysis,Hominine GSI,Hominine GSI,GSI,#,"Howell and Coppens, 1974",Undescribed,GSI because no taxonomical allocation published,"Feibel et al., 1989; Wynn et al., 2020",north
